transformer_id,transformer_name,sales_rep_id,feeder_id
1,Transformer_1,62,48
2,Transformer_2,136,40
3,Transformer_3,40,119
4,Transformer_4,19,2
5,Transformer_5,140,16
6,Transformer_6,46,47
7,Transformer_7,68,35
8,Transformer_8,39,5
9,Transformer_9,124,63
10,Transformer_10,195,54
11,Transformer_11,58,111
12,Transformer_12,67,5
13,Transformer_13,90,108
14,Transformer_14,84,72
15,Transformer_15,167,63
16,Transformer_16,182,1
17,Transformer_17,179,84
18,Transformer_18,177,52
19,Transformer_19,199,22
20,Transformer_20,39,83
21,Transformer_21,44,67
22,Transformer_22,186,84
23,Transformer_23,84,67
24,Transformer_24,42,97
25,Transformer_25,5,94
26,Transformer_26,31,9
27,Transformer_27,64,78
28,Transformer_28,3,117
29,Transformer_29,134,72
30,Transformer_30,89,55
31,Transformer_31,55,7
32,Transformer_32,192,40
33,Transformer_33,174,68
34,Transformer_34,189,8
35,Transformer_35,169,22
36,Transformer_36,194,39
37,Transformer_37,17,83
38,Transformer_38,165,67
39,Transformer_39,43,107
40,Transformer_40,13,67
41,Transformer_41,47,52
42,Transformer_42,87,5
43,Transformer_43,82,3
44,Transformer_44,21,85
45,Transformer_45,87,14
46,Transformer_46,83,15
47,Transformer_47,64,100
48,Transformer_48,18,77
49,Transformer_49,163,75
50,Transformer_50,200,118
51,Transformer_51,45,89
52,Transformer_52,104,25
53,Transformer_53,53,23
54,Transformer_54,28,33
55,Transformer_55,72,93
56,Transformer_56,72,70
57,Transformer_57,184,108
58,Transformer_58,181,24
59,Transformer_59,80,38
60,Transformer_60,11,65
61,Transformer_61,52,30
62,Transformer_62,60,23
63,Transformer_63,1,53
64,Transformer_64,141,114
65,Transformer_65,165,12
66,Transformer_66,199,102
67,Transformer_67,102,100
68,Transformer_68,128,83
69,Transformer_69,195,89
70,Transformer_70,8,101
71,Transformer_71,156,7
72,Transformer_72,17,64
73,Transformer_73,162,109
74,Transformer_74,200,16
75,Transformer_75,71,92
76,Transformer_76,101,91
77,Transformer_77,95,54
78,Transformer_78,16,33
79,Transformer_79,123,77
80,Transformer_80,101,113
81,Transformer_81,195,60
82,Transformer_82,53,46
83,Transformer_83,176,92
84,Transformer_84,175,21
85,Transformer_85,113,41
86,Transformer_86,151,93
87,Transformer_87,122,74
88,Transformer_88,176,85
89,Transformer_89,107,46
90,Transformer_90,184,7
91,Transformer_91,163,96
92,Transformer_92,80,47
93,Transformer_93,146,5
94,Transformer_94,78,40
95,Transformer_95,70,1
96,Transformer_96,143,60
97,Transformer_97,65,71
98,Transformer_98,182,18
99,Transformer_99,180,7
100,Transformer_100,189,26
101,Transformer_101,186,84
102,Transformer_102,163,71
103,Transformer_103,50,48
104,Transformer_104,189,93
105,Transformer_105,151,112
106,Transformer_106,159,4
107,Transformer_107,188,93
108,Transformer_108,9,64
109,Transformer_109,149,66
110,Transformer_110,196,6
111,Transformer_111,59,102
112,Transformer_112,3,92
113,Transformer_113,152,33
114,Transformer_114,91,72
115,Transformer_115,193,25
116,Transformer_116,131,54
117,Transformer_117,135,59
118,Transformer_118,142,97
119,Transformer_119,12,89
120,Transformer_120,56,47
121,Transformer_121,144,78
122,Transformer_122,56,97
123,Transformer_123,42,26
124,Transformer_124,137,31
125,Transformer_125,30,41
126,Transformer_126,140,96
127,Transformer_127,154,109
128,Transformer_128,166,21
129,Transformer_129,126,56
130,Transformer_130,160,103
131,Transformer_131,188,52
132,Transformer_132,54,8
133,Transformer_133,199,115
134,Transformer_134,162,9
135,Transformer_135,64,19
136,Transformer_136,145,31
137,Transformer_137,183,3
138,Transformer_138,159,53
139,Transformer_139,184,32
140,Transformer_140,58,21
141,Transformer_141,85,10
142,Transformer_142,155,90
143,Transformer_143,111,51
144,Transformer_144,135,10
145,Transformer_145,164,11
146,Transformer_146,184,2
147,Transformer_147,118,83
148,Transformer_148,92,51
149,Transformer_149,98,106
150,Transformer_150,126,110
151,Transformer_151,179,112
152,Transformer_152,114,18
153,Transformer_153,50,26
154,Transformer_154,112,94
155,Transformer_155,109,15
156,Transformer_156,152,85
157,Transformer_157,150,77
158,Transformer_158,183,90
159,Transformer_159,157,50
160,Transformer_160,3,82
161,Transformer_161,72,19
162,Transformer_162,18,93
163,Transformer_163,95,76
164,Transformer_164,84,61
165,Transformer_165,172,57
166,Transformer_166,58,62
167,Transformer_167,182,18
168,Transformer_168,88,101
169,Transformer_169,116,19
170,Transformer_170,93,27
171,Transformer_171,175,62
172,Transformer_172,191,73
173,Transformer_173,5,31
174,Transformer_174,42,102
175,Transformer_175,57,58
176,Transformer_176,92,28
177,Transformer_177,75,74
178,Transformer_178,40,5
179,Transformer_179,34,48
180,Transformer_180,154,18
181,Transformer_181,110,2
182,Transformer_182,135,51
183,Transformer_183,187,29
184,Transformer_184,191,29
185,Transformer_185,4,96
186,Transformer_186,190,71
187,Transformer_187,135,72
188,Transformer_188,123,17
189,Transformer_189,39,70
190,Transformer_190,79,80
191,Transformer_191,63,92
192,Transformer_192,177,37
193,Transformer_193,4,9
194,Transformer_194,186,11
195,Transformer_195,21,14
196,Transformer_196,5,93
197,Transformer_197,138,41
198,Transformer_198,93,117
199,Transformer_199,125,117
200,Transformer_200,38,31
201,Transformer_201,128,16
202,Transformer_202,82,68
203,Transformer_203,164,2
204,Transformer_204,62,31
205,Transformer_205,181,54
206,Transformer_206,163,85
207,Transformer_207,163,60
208,Transformer_208,168,75
209,Transformer_209,104,12
210,Transformer_210,126,65
211,Transformer_211,182,55
212,Transformer_212,51,15
213,Transformer_213,155,106
214,Transformer_214,148,25
215,Transformer_215,195,90
216,Transformer_216,92,50
217,Transformer_217,90,88
218,Transformer_218,189,79
219,Transformer_219,124,82
220,Transformer_220,58,26
221,Transformer_221,95,112
222,Transformer_222,164,7
223,Transformer_223,108,77
224,Transformer_224,104,9
225,Transformer_225,45,21
226,Transformer_226,80,86
227,Transformer_227,169,119
228,Transformer_228,28,111
229,Transformer_229,118,90
230,Transformer_230,27,27
231,Transformer_231,58,61
232,Transformer_232,50,88
233,Transformer_233,26,97
234,Transformer_234,156,113
235,Transformer_235,113,85
236,Transformer_236,101,111
237,Transformer_237,61,117
238,Transformer_238,192,64
239,Transformer_239,61,50
240,Transformer_240,174,62
241,Transformer_241,65,120
242,Transformer_242,192,37
243,Transformer_243,176,102
244,Transformer_244,138,61
245,Transformer_245,102,50
246,Transformer_246,3,30
247,Transformer_247,126,32
248,Transformer_248,162,120
249,Transformer_249,68,115
250,Transformer_250,167,116
251,Transformer_251,123,20
252,Transformer_252,129,96
253,Transformer_253,99,77
254,Transformer_254,188,66
255,Transformer_255,87,42
256,Transformer_256,34,30
257,Transformer_257,3,45
258,Transformer_258,62,84
259,Transformer_259,42,66
260,Transformer_260,119,1
261,Transformer_261,35,69
262,Transformer_262,198,57
263,Transformer_263,64,90
264,Transformer_264,75,25
265,Transformer_265,168,36
266,Transformer_266,60,103
267,Transformer_267,122,11
268,Transformer_268,24,9
269,Transformer_269,122,55
270,Transformer_270,168,12
271,Transformer_271,52,84
272,Transformer_272,129,82
273,Transformer_273,184,23
274,Transformer_274,82,45
275,Transformer_275,160,28
276,Transformer_276,157,43
277,Transformer_277,120,89
278,Transformer_278,89,91
279,Transformer_279,42,81
280,Transformer_280,139,79
281,Transformer_281,74,73
282,Transformer_282,51,43
283,Transformer_283,157,62
284,Transformer_284,116,97
285,Transformer_285,56,119
286,Transformer_286,136,10
287,Transformer_287,150,65
288,Transformer_288,44,69
289,Transformer_289,1,72
290,Transformer_290,17,37
291,Transformer_291,126,76
292,Transformer_292,65,65
293,Transformer_293,24,58
294,Transformer_294,85,34
295,Transformer_295,101,101
296,Transformer_296,126,20
297,Transformer_297,28,73
298,Transformer_298,17,116
299,Transformer_299,129,119
300,Transformer_300,106,96
301,Transformer_301,25,27
302,Transformer_302,191,70
303,Transformer_303,9,49
304,Transformer_304,105,12
305,Transformer_305,150,37
306,Transformer_306,50,119
307,Transformer_307,136,51
308,Transformer_308,43,105
309,Transformer_309,161,18
310,Transformer_310,127,74
311,Transformer_311,93,73
312,Transformer_312,173,18
313,Transformer_313,39,2
314,Transformer_314,41,7
315,Transformer_315,90,74
316,Transformer_316,40,63
317,Transformer_317,12,67
318,Transformer_318,49,87
319,Transformer_319,71,120
320,Transformer_320,80,44
321,Transformer_321,62,18
322,Transformer_322,175,79
323,Transformer_323,16,101
324,Transformer_324,158,84
325,Transformer_325,54,109
326,Transformer_326,150,120
327,Transformer_327,44,87
328,Transformer_328,61,44
329,Transformer_329,156,119
330,Transformer_330,95,30
331,Transformer_331,120,92
332,Transformer_332,60,52
333,Transformer_333,161,62
334,Transformer_334,100,105
335,Transformer_335,158,82
336,Transformer_336,184,106
337,Transformer_337,7,45
338,Transformer_338,15,71
339,Transformer_339,9,25
340,Transformer_340,4,72
341,Transformer_341,186,108
342,Transformer_342,116,77
343,Transformer_343,103,57
344,Transformer_344,113,47
345,Transformer_345,33,19
346,Transformer_346,85,77
347,Transformer_347,77,102
348,Transformer_348,32,51
349,Transformer_349,115,87
350,Transformer_350,195,52
351,Transformer_351,18,5
352,Transformer_352,38,10
353,Transformer_353,5,44
354,Transformer_354,44,112
355,Transformer_355,43,77
356,Transformer_356,36,92
357,Transformer_357,102,103
358,Transformer_358,31,14
359,Transformer_359,13,59
360,Transformer_360,165,54
361,Transformer_361,180,70
362,Transformer_362,102,78
363,Transformer_363,140,105
364,Transformer_364,11,62
365,Transformer_365,121,58
366,Transformer_366,126,27
367,Transformer_367,122,95
368,Transformer_368,37,16
369,Transformer_369,10,81
370,Transformer_370,103,106
371,Transformer_371,14,78
372,Transformer_372,197,52
373,Transformer_373,13,86
374,Transformer_374,185,2
375,Transformer_375,45,54
376,Transformer_376,198,54
377,Transformer_377,103,76
378,Transformer_378,133,9
379,Transformer_379,141,83
380,Transformer_380,65,51
381,Transformer_381,34,39
382,Transformer_382,123,90
383,Transformer_383,129,81
384,Transformer_384,136,70
385,Transformer_385,90,32
386,Transformer_386,122,70
387,Transformer_387,65,48
388,Transformer_388,69,7
389,Transformer_389,32,76
390,Transformer_390,192,99
391,Transformer_391,13,14
392,Transformer_392,44,8
393,Transformer_393,140,37
394,Transformer_394,173,58
395,Transformer_395,162,97
396,Transformer_396,69,7
397,Transformer_397,36,85
398,Transformer_398,8,39
399,Transformer_399,62,80
400,Transformer_400,188,80
401,Transformer_401,102,83
402,Transformer_402,130,56
403,Transformer_403,145,89
404,Transformer_404,78,81
405,Transformer_405,139,28
406,Transformer_406,182,108
407,Transformer_407,46,56
408,Transformer_408,3,27
409,Transformer_409,50,115
410,Transformer_410,199,117
411,Transformer_411,42,24
412,Transformer_412,47,31
413,Transformer_413,179,39
