meter_reading_id,customer_id,meter_number,read_timestamp,meter_reading,year,month,day,hour
1901,1,MTR000001,2024-01-01 19:00:00,1032.7,2024,1,1,19
1902,2,MTR000002,2024-01-01 19:00:00,1027.36,2024,1,1,19
1903,3,MTR000003,2024-01-01 19:00:00,1033.88,2024,1,1,19
1904,4,MTR000004,2024-01-01 19:00:00,1026.78,2024,1,1,19
1905,5,MTR000005,2024-01-01 19:00:00,1026.85,2024,1,1,19
1906,6,MTR000006,2024-01-01 19:00:00,1028.04,2024,1,1,19
1907,7,MTR000007,2024-01-01 19:00:00,1031.31,2024,1,1,19
1908,8,MTR000008,2024-01-01 19:00:00,1026.31,2024,1,1,19
1909,9,MTR000009,2024-01-01 19:00:00,1027.64,2024,1,1,19
1910,10,MTR000010,2024-01-01 19:00:00,1030.64,2024,1,1,19
1911,11,MTR000011,2024-01-01 19:00:00,1030.14,2024,1,1,19
1912,12,MTR000012,2024-01-01 19:00:00,1032.32,2024,1,1,19
1913,13,MTR000013,2024-01-01 19:00:00,1031.03,2024,1,1,19
1914,14,MTR000014,2024-01-01 19:00:00,1034.98,2024,1,1,19
1915,15,MTR000015,2024-01-01 19:00:00,1029.31,2024,1,1,19
1916,16,MTR000016,2024-01-01 19:00:00,1024.75,2024,1,1,19
1917,17,MTR000017,2024-01-01 19:00:00,1032.4,2024,1,1,19
1918,18,MTR000018,2024-01-01 19:00:00,1033.54,2024,1,1,19
1919,19,MTR000019,2024-01-01 19:00:00,1031.1,2024,1,1,19
1920,20,MTR000020,2024-01-01 19:00:00,1033.51,2024,1,1,19
1921,21,MTR000021,2024-01-01 19:00:00,1032.46,2024,1,1,19
1922,22,MTR000022,2024-01-01 19:00:00,1033.79,2024,1,1,19
1923,23,MTR000023,2024-01-01 19:00:00,1033.35,2024,1,1,19
1924,24,MTR000024,2024-01-01 19:00:00,1026.75,2024,1,1,19
1925,25,MTR000025,2024-01-01 19:00:00,1033.74,2024,1,1,19
1926,26,MTR000026,2024-01-01 19:00:00,1032.87,2024,1,1,19
1927,27,MTR000027,2024-01-01 19:00:00,1032.94,2024,1,1,19
1928,28,MTR000028,2024-01-01 19:00:00,1036.37,2024,1,1,19
1929,29,MTR000029,2024-01-01 19:00:00,1034.84,2024,1,1,19
1930,30,MTR000030,2024-01-01 19:00:00,1037.7,2024,1,1,19
1931,31,MTR000031,2024-01-01 19:00:00,1035.09,2024,1,1,19
1932,32,MTR000032,2024-01-01 19:00:00,1028.68,2024,1,1,19
1933,33,MTR000033,2024-01-01 19:00:00,1031.19,2024,1,1,19
1934,34,MTR000034,2024-01-01 19:00:00,1024.53,2024,1,1,19
1935,35,MTR000035,2024-01-01 19:00:00,1032.58,2024,1,1,19
1936,36,MTR000036,2024-01-01 19:00:00,1023.83,2024,1,1,19
1937,37,MTR000037,2024-01-01 19:00:00,1027.67,2024,1,1,19
1938,38,MTR000038,2024-01-01 19:00:00,1033.31,2024,1,1,19
1939,39,MTR000039,2024-01-01 19:00:00,1032.58,2024,1,1,19
1940,40,MTR000040,2024-01-01 19:00:00,1026.62,2024,1,1,19
1941,41,MTR000041,2024-01-01 19:00:00,1028.16,2024,1,1,19
1942,42,MTR000042,2024-01-01 19:00:00,1027.43,2024,1,1,19
1943,43,MTR000043,2024-01-01 19:00:00,1032.16,2024,1,1,19
1944,44,MTR000044,2024-01-01 19:00:00,1035.32,2024,1,1,19
1945,45,MTR000045,2024-01-01 19:00:00,1028.6,2024,1,1,19
1946,46,MTR000046,2024-01-01 19:00:00,1032.72,2024,1,1,19
1947,47,MTR000047,2024-01-01 19:00:00,1028.34,2024,1,1,19
1948,48,MTR000048,2024-01-01 19:00:00,1027.69,2024,1,1,19
1949,49,MTR000049,2024-01-01 19:00:00,1035.62,2024,1,1,19
1950,50,MTR000050,2024-01-01 19:00:00,1033.22,2024,1,1,19
1951,51,MTR000051,2024-01-01 19:00:00,1032.66,2024,1,1,19
1952,52,MTR000052,2024-01-01 19:00:00,1028.08,2024,1,1,19
1953,53,MTR000053,2024-01-01 19:00:00,1033.37,2024,1,1,19
1954,54,MTR000054,2024-01-01 19:00:00,1032.5,2024,1,1,19
1955,55,MTR000055,2024-01-01 19:00:00,1033.08,2024,1,1,19
