meter_reading_id,customer_id,meter_number,read_timestamp,meter_reading,year,month,day,hour
2001,1,MTR000001,2024-01-01 20:00:00,1033.81,2024,1,1,20
2002,2,MTR000002,2024-01-01 20:00:00,1028.02,2024,1,1,20
2003,3,MTR000003,2024-01-01 20:00:00,1036.62,2024,1,1,20
2004,4,MTR000004,2024-01-01 20:00:00,1027.46,2024,1,1,20
2005,5,MTR000005,2024-01-01 20:00:00,1029.25,2024,1,1,20
2006,6,MTR000006,2024-01-01 20:00:00,1028.23,2024,1,1,20
2007,7,MTR000007,2024-01-01 20:00:00,1032.83,2024,1,1,20
2008,8,MTR000008,2024-01-01 20:00:00,1027.07,2024,1,1,20
2009,9,MTR000009,2024-01-01 20:00:00,1029.19,2024,1,1,20
2010,10,MTR000010,2024-01-01 20:00:00,1032.72,2024,1,1,20
2011,11,MTR000011,2024-01-01 20:00:00,1032.95,2024,1,1,20
2012,12,MTR000012,2024-01-01 20:00:00,1033.4,2024,1,1,20
2013,13,MTR000013,2024-01-01 20:00:00,1031.54,2024,1,1,20
2014,14,MTR000014,2024-01-01 20:00:00,1035.86,2024,1,1,20
2015,15,MTR000015,2024-01-01 20:00:00,1030.69,2024,1,1,20
2016,16,MTR000016,2024-01-01 20:00:00,1027.51,2024,1,1,20
2017,17,MTR000017,2024-01-01 20:00:00,1035.2,2024,1,1,20
2018,18,MTR000018,2024-01-01 20:00:00,1034.02,2024,1,1,20
2019,19,MTR000019,2024-01-01 20:00:00,1031.34,2024,1,1,20
2020,20,MTR000020,2024-01-01 20:00:00,1036.0,2024,1,1,20
2021,21,MTR000021,2024-01-01 20:00:00,1033.44,2024,1,1,20
2022,22,MTR000022,2024-01-01 20:00:00,1035.92,2024,1,1,20
2023,23,MTR000023,2024-01-01 20:00:00,1034.54,2024,1,1,20
2024,24,MTR000024,2024-01-01 20:00:00,1027.75,2024,1,1,20
2025,25,MTR000025,2024-01-01 20:00:00,1034.92,2024,1,1,20
2026,26,MTR000026,2024-01-01 20:00:00,1035.66,2024,1,1,20
2027,27,MTR000027,2024-01-01 20:00:00,1035.62,2024,1,1,20
2028,28,MTR000028,2024-01-01 20:00:00,1039.03,2024,1,1,20
2029,29,MTR000029,2024-01-01 20:00:00,1036.11,2024,1,1,20
2030,30,MTR000030,2024-01-01 20:00:00,1038.83,2024,1,1,20
