meter_reading_id,customer_id,meter_number,read_timestamp,meter_reading,year,month,day,hour
401,1,MTR000001,2024-01-01 04:00:00,1012.72,2024,1,1,4
402,2,MTR000002,2024-01-01 04:00:00,1007.32,2024,1,1,4
403,3,MTR000003,2024-01-01 04:00:00,1009.75,2024,1,1,4
404,4,MTR000004,2024-01-01 04:00:00,1008.46,2024,1,1,4
405,5,MTR000005,2024-01-01 04:00:00,1006.76,2024,1,1,4
406,6,MTR000006,2024-01-01 04:00:00,1007.3,2024,1,1,4
407,7,MTR000007,2024-01-01 04:00:00,1010.84,2024,1,1,4
408,8,MTR000008,2024-01-01 04:00:00,1004.69,2024,1,1,4
409,9,MTR000009,2024-01-01 04:00:00,1005.55,2024,1,1,4
410,10,MTR000010,2024-01-01 04:00:00,1005.75,2024,1,1,4
411,11,MTR000011,2024-01-01 04:00:00,1010.05,2024,1,1,4
412,12,MTR000012,2024-01-01 04:00:00,1005.28,2024,1,1,4
413,13,MTR000013,2024-01-01 04:00:00,1006.57,2024,1,1,4
414,14,MTR000014,2024-01-01 04:00:00,1009.95,2024,1,1,4
415,15,MTR000015,2024-01-01 04:00:00,1008.39,2024,1,1,4
416,16,MTR000016,2024-01-01 04:00:00,1006.24,2024,1,1,4
417,17,MTR000017,2024-01-01 04:00:00,1008.85,2024,1,1,4
418,18,MTR000018,2024-01-01 04:00:00,1006.65,2024,1,1,4
419,19,MTR000019,2024-01-01 04:00:00,1006.44,2024,1,1,4
420,20,MTR000020,2024-01-01 04:00:00,1005.87,2024,1,1,4
421,21,MTR000021,2024-01-01 04:00:00,1008.65,2024,1,1,4
422,22,MTR000022,2024-01-01 04:00:00,1007.63,2024,1,1,4
423,23,MTR000023,2024-01-01 04:00:00,1007.95,2024,1,1,4
424,24,MTR000024,2024-01-01 04:00:00,1006.65,2024,1,1,4
425,25,MTR000025,2024-01-01 04:00:00,1006.48,2024,1,1,4
426,26,MTR000026,2024-01-01 04:00:00,1006.22,2024,1,1,4
427,27,MTR000027,2024-01-01 04:00:00,1006.59,2024,1,1,4
428,28,MTR000028,2024-01-01 04:00:00,1008.48,2024,1,1,4
429,29,MTR000029,2024-01-01 04:00:00,1009.24,2024,1,1,4
430,30,MTR000030,2024-01-01 04:00:00,1008.58,2024,1,1,4
431,31,MTR000031,2024-01-01 04:00:00,1009.3,2024,1,1,4
432,32,MTR000032,2024-01-01 04:00:00,1007.09,2024,1,1,4
433,33,MTR000033,2024-01-01 04:00:00,1007.18,2024,1,1,4
434,34,MTR000034,2024-01-01 04:00:00,1005.56,2024,1,1,4
435,35,MTR000035,2024-01-01 04:00:00,1008.48,2024,1,1,4
436,36,MTR000036,2024-01-01 04:00:00,1006.72,2024,1,1,4
437,37,MTR000037,2024-01-01 04:00:00,1005.0,2024,1,1,4
438,38,MTR000038,2024-01-01 04:00:00,1009.62,2024,1,1,4
439,39,MTR000039,2024-01-01 04:00:00,1007.15,2024,1,1,4
440,40,MTR000040,2024-01-01 04:00:00,1007.77,2024,1,1,4
441,41,MTR000041,2024-01-01 04:00:00,1005.41,2024,1,1,4
442,42,MTR000042,2024-01-01 04:00:00,1006.26,2024,1,1,4
443,43,MTR000043,2024-01-01 04:00:00,1008.63,2024,1,1,4
444,44,MTR000044,2024-01-01 04:00:00,1008.79,2024,1,1,4
445,45,MTR000045,2024-01-01 04:00:00,1008.41,2024,1,1,4
446,46,MTR000046,2024-01-01 04:00:00,1007.14,2024,1,1,4
447,47,MTR000047,2024-01-01 04:00:00,1006.8,2024,1,1,4
448,48,MTR000048,2024-01-01 04:00:00,1005.08,2024,1,1,4
449,49,MTR000049,2024-01-01 04:00:00,1009.12,2024,1,1,4
450,50,MTR000050,2024-01-01 04:00:00,1009.51,2024,1,1,4
451,51,MTR000051,2024-01-01 04:00:00,1007.5,2024,1,1,4
452,52,MTR000052,2024-01-01 04:00:00,1007.68,2024,1,1,4
453,53,MTR000053,2024-01-01 04:00:00,1007.29,2024,1,1,4
454,54,MTR000054,2024-01-01 04:00:00,1007.68,2024,1,1,4
455,55,MTR000055,2024-01-01 04:00:00,1005.68,2024,1,1,4
456,56,MTR000056,2024-01-01 04:00:00,1007.27,2024,1,1,4
