meter_reading_id,customer_id,meter_number,read_timestamp,meter_reading,year,month,day,hour
2101,1,MTR000001,2024-01-01 21:00:00,1035.75,2024,1,1,21
2102,2,MTR000002,2024-01-01 21:00:00,1029.84,2024,1,1,21
2103,3,MTR000003,2024-01-01 21:00:00,1037.71,2024,1,1,21
2104,4,MTR000004,2024-01-01 21:00:00,1028.01,2024,1,1,21
2105,5,MTR000005,2024-01-01 21:00:00,1032.16,2024,1,1,21
2106,6,MTR000006,2024-01-01 21:00:00,1028.34,2024,1,1,21
2107,7,MTR000007,2024-01-01 21:00:00,1033.58,2024,1,1,21
2108,8,MTR000008,2024-01-01 21:00:00,1029.42,2024,1,1,21
2109,9,MTR000009,2024-01-01 21:00:00,1032.01,2024,1,1,21
2110,10,MTR000010,2024-01-01 21:00:00,1034.07,2024,1,1,21
2111,11,MTR000011,2024-01-01 21:00:00,1034.47,2024,1,1,21
2112,12,MTR000012,2024-01-01 21:00:00,1034.36,2024,1,1,21
2113,13,MTR000013,2024-01-01 21:00:00,1032.48,2024,1,1,21
2114,14,MTR000014,2024-01-01 21:00:00,1036.62,2024,1,1,21
2115,15,MTR000015,2024-01-01 21:00:00,1030.81,2024,1,1,21
2116,16,MTR000016,2024-01-01 21:00:00,1028.38,2024,1,1,21
2117,17,MTR000017,2024-01-01 21:00:00,1036.28,2024,1,1,21
2118,18,MTR000018,2024-01-01 21:00:00,1035.13,2024,1,1,21
2119,19,MTR000019,2024-01-01 21:00:00,1031.71,2024,1,1,21
2120,20,MTR000020,2024-01-01 21:00:00,1038.37,2024,1,1,21
2121,21,MTR000021,2024-01-01 21:00:00,1033.65,2024,1,1,21
2122,22,MTR000022,2024-01-01 21:00:00,1038.11,2024,1,1,21
2123,23,MTR000023,2024-01-01 21:00:00,1035.94,2024,1,1,21
2124,24,MTR000024,2024-01-01 21:00:00,1030.64,2024,1,1,21
2125,25,MTR000025,2024-01-01 21:00:00,1036.62,2024,1,1,21
2126,26,MTR000026,2024-01-01 21:00:00,1036.18,2024,1,1,21
2127,27,MTR000027,2024-01-01 21:00:00,1037.22,2024,1,1,21
2128,28,MTR000028,2024-01-01 21:00:00,1041.95,2024,1,1,21
2129,29,MTR000029,2024-01-01 21:00:00,1037.91,2024,1,1,21
2130,30,MTR000030,2024-01-01 21:00:00,1040.53,2024,1,1,21
2131,31,MTR000031,2024-01-01 21:00:00,1040.23,2024,1,1,21
2132,32,MTR000032,2024-01-01 21:00:00,1033.17,2024,1,1,21
2133,33,MTR000033,2024-01-01 21:00:00,1035.06,2024,1,1,21
2134,34,MTR000034,2024-01-01 21:00:00,1027.11,2024,1,1,21
2135,35,MTR000035,2024-01-01 21:00:00,1033.93,2024,1,1,21
2136,36,MTR000036,2024-01-01 21:00:00,1026.57,2024,1,1,21
2137,37,MTR000037,2024-01-01 21:00:00,1030.64,2024,1,1,21
2138,38,MTR000038,2024-01-01 21:00:00,1035.25,2024,1,1,21
2139,39,MTR000039,2024-01-01 21:00:00,1033.58,2024,1,1,21
2140,40,MTR000040,2024-01-01 21:00:00,1030.31,2024,1,1,21
2141,41,MTR000041,2024-01-01 21:00:00,1031.01,2024,1,1,21
2142,42,MTR000042,2024-01-01 21:00:00,1030.69,2024,1,1,21
2143,43,MTR000043,2024-01-01 21:00:00,1034.11,2024,1,1,21
2144,44,MTR000044,2024-01-01 21:00:00,1038.74,2024,1,1,21
2145,45,MTR000045,2024-01-01 21:00:00,1029.65,2024,1,1,21
2146,46,MTR000046,2024-01-01 21:00:00,1034.71,2024,1,1,21
2147,47,MTR000047,2024-01-01 21:00:00,1032.82,2024,1,1,21
2148,48,MTR000048,2024-01-01 21:00:00,1028.3,2024,1,1,21
2149,49,MTR000049,2024-01-01 21:00:00,1039.81,2024,1,1,21
2150,50,MTR000050,2024-01-01 21:00:00,1036.64,2024,1,1,21
2151,51,MTR000051,2024-01-01 21:00:00,1033.9,2024,1,1,21
2152,52,MTR000052,2024-01-01 21:00:00,1032.6,2024,1,1,21
2153,53,MTR000053,2024-01-01 21:00:00,1037.47,2024,1,1,21
2154,54,MTR000054,2024-01-01 21:00:00,1034.55,2024,1,1,21
2155,55,MTR000055,2024-01-01 21:00:00,1035.96,2024,1,1,21
2156,56,MTR000056,2024-01-01 21:00:00,1034.21,2024,1,1,21
2157,57,MTR000057,2024-01-01 21:00:00,1031.78,2024,1,1,21
2158,58,MTR000058,2024-01-01 21:00:00,1033.23,2024,1,1,21
2159,59,MTR000059,2024-01-01 21:00:00,1034.57,2024,1,1,21
2160,60,MTR000060,2024-01-01 21:00:00,1029.37,2024,1,1,21
2161,61,MTR000061,2024-01-01 21:00:00,1033.37,2024,1,1,21
2162,62,MTR000062,2024-01-01 21:00:00,1032.02,2024,1,1,21
2163,63,MTR000063,2024-01-01 21:00:00,1037.73,2024,1,1,21
2164,64,MTR000064,2024-01-01 21:00:00,1037.67,2024,1,1,21
2165,65,MTR000065,2024-01-01 21:00:00,1033.94,2024,1,1,21
2166,66,MTR000066,2024-01-01 21:00:00,1033.37,2024,1,1,21
2167,67,MTR000067,2024-01-01 21:00:00,1037.39,2024,1,1,21
2168,68,MTR000068,2024-01-01 21:00:00,1029.71,2024,1,1,21
2169,69,MTR000069,2024-01-01 21:00:00,1033.6,2024,1,1,21
2170,70,MTR000070,2024-01-01 21:00:00,1027.37,2024,1,1,21
2171,71,MTR000071,2024-01-01 21:00:00,1040.94,2024,1,1,21
2172,72,MTR000072,2024-01-01 21:00:00,1032.02,2024,1,1,21
2173,73,MTR000073,2024-01-01 21:00:00,1034.85,2024,1,1,21
