meter_reading_id,customer_id,meter_number,read_timestamp,meter_reading,year,month,day,hour
1801,1,MTR000001,2024-01-01 18:00:00,1032.0,2024,1,1,18
1802,2,MTR000002,2024-01-01 18:00:00,1024.94,2024,1,1,18
1803,3,MTR000003,2024-01-01 18:00:00,1032.85,2024,1,1,18
1804,4,MTR000004,2024-01-01 18:00:00,1025.28,2024,1,1,18
1805,5,MTR000005,2024-01-01 18:00:00,1024.83,2024,1,1,18
1806,6,MTR000006,2024-01-01 18:00:00,1025.09,2024,1,1,18
1807,7,MTR000007,2024-01-01 18:00:00,1028.55,2024,1,1,18
1808,8,MTR000008,2024-01-01 18:00:00,1026.06,2024,1,1,18
1809,9,MTR000009,2024-01-01 18:00:00,1024.69,2024,1,1,18
1810,10,MTR000010,2024-01-01 18:00:00,1029.83,2024,1,1,18
1811,11,MTR000011,2024-01-01 18:00:00,1028.97,2024,1,1,18
1812,12,MTR000012,2024-01-01 18:00:00,1032.2,2024,1,1,18
1813,13,MTR000013,2024-01-01 18:00:00,1029.0,2024,1,1,18
1814,14,MTR000014,2024-01-01 18:00:00,1033.13,2024,1,1,18
1815,15,MTR000015,2024-01-01 18:00:00,1028.93,2024,1,1,18
1816,16,MTR000016,2024-01-01 18:00:00,1022.46,2024,1,1,18
1817,17,MTR000017,2024-01-01 18:00:00,1031.17,2024,1,1,18
1818,18,MTR000018,2024-01-01 18:00:00,1031.23,2024,1,1,18
1819,19,MTR000019,2024-01-01 18:00:00,1029.98,2024,1,1,18
1820,20,MTR000020,2024-01-01 18:00:00,1030.98,2024,1,1,18
1821,21,MTR000021,2024-01-01 18:00:00,1031.2,2024,1,1,18
1822,22,MTR000022,2024-01-01 18:00:00,1030.98,2024,1,1,18
1823,23,MTR000023,2024-01-01 18:00:00,1030.4,2024,1,1,18
1824,24,MTR000024,2024-01-01 18:00:00,1023.9,2024,1,1,18
1825,25,MTR000025,2024-01-01 18:00:00,1031.33,2024,1,1,18
1826,26,MTR000026,2024-01-01 18:00:00,1030.53,2024,1,1,18
1827,27,MTR000027,2024-01-01 18:00:00,1031.53,2024,1,1,18
1828,28,MTR000028,2024-01-01 18:00:00,1033.95,2024,1,1,18
