meter_reading_id,customer_id,meter_number,read_timestamp,meter_reading,year,month,day,hour
801,1,MTR000001,2024-01-01 08:00:00,1016.97,2024,1,1,8
802,2,MTR000002,2024-01-01 08:00:00,1011.65,2024,1,1,8
803,3,MTR000003,2024-01-01 08:00:00,1015.45,2024,1,1,8
804,4,MTR000004,2024-01-01 08:00:00,1015.4,2024,1,1,8
805,5,MTR000005,2024-01-01 08:00:00,1014.27,2024,1,1,8
806,6,MTR000006,2024-01-01 08:00:00,1013.22,2024,1,1,8
807,7,MTR000007,2024-01-01 08:00:00,1016.32,2024,1,1,8
808,8,MTR000008,2024-01-01 08:00:00,1011.09,2024,1,1,8
809,9,MTR000009,2024-01-01 08:00:00,1011.26,2024,1,1,8
810,10,MTR000010,2024-01-01 08:00:00,1014.63,2024,1,1,8
811,11,MTR000011,2024-01-01 08:00:00,1015.72,2024,1,1,8
812,12,MTR000012,2024-01-01 08:00:00,1013.24,2024,1,1,8
813,13,MTR000013,2024-01-01 08:00:00,1011.2,2024,1,1,8
814,14,MTR000014,2024-01-01 08:00:00,1015.67,2024,1,1,8
815,15,MTR000015,2024-01-01 08:00:00,1015.18,2024,1,1,8
816,16,MTR000016,2024-01-01 08:00:00,1011.02,2024,1,1,8
817,17,MTR000017,2024-01-01 08:00:00,1013.73,2024,1,1,8
818,18,MTR000018,2024-01-01 08:00:00,1014.65,2024,1,1,8
819,19,MTR000019,2024-01-01 08:00:00,1011.76,2024,1,1,8
820,20,MTR000020,2024-01-01 08:00:00,1014.54,2024,1,1,8
821,21,MTR000021,2024-01-01 08:00:00,1016.22,2024,1,1,8
822,22,MTR000022,2024-01-01 08:00:00,1013.74,2024,1,1,8
823,23,MTR000023,2024-01-01 08:00:00,1011.96,2024,1,1,8
824,24,MTR000024,2024-01-01 08:00:00,1011.28,2024,1,1,8
825,25,MTR000025,2024-01-01 08:00:00,1011.67,2024,1,1,8
826,26,MTR000026,2024-01-01 08:00:00,1012.35,2024,1,1,8
827,27,MTR000027,2024-01-01 08:00:00,1015.71,2024,1,1,8
828,28,MTR000028,2024-01-01 08:00:00,1016.01,2024,1,1,8
